y,kappa_y,r_ab_y
-1.7399999999999998,-0.3529691030395661,0.7025989012123384
-1.73,-0.35285221622464347,0.7026810305598946
-1.7199999999999998,-0.352731667016509,0.7027657433076245
-1.71,-0.3526073422216843,0.7028531199458998
-1.6999999999999997,-0.35247912524800984,0.7029432434234333
-1.69,-0.35234689600900015,0.7030361992191797
-1.6800000000000002,-0.35221053082592313,0.7031320754161351
-1.67,-0.35206990232757784,0.7032309627770668
-1.6600000000000001,-0.35192487934774663,0.7033329548222147
-1.65,-0.3517753268202994,0.7034381479089953
-1.6400000000000001,-0.35162110567193,0.7035466413137463
-1.63,-0.3514620727125094,0.7036585373155452
-1.62,-0.35129808052303835,0.7037739412821354
-1.6099999999999999,-0.35112897734119164,0.7038929617579941
-1.6,-0.3509546069444439,0.7040157105545709
-1.5899999999999999,-0.35077480853077325,0.704142302842733
-1.58,-0.35058941659694387,0.704272857247441
-1.5699999999999998,-0.3503982608143703,0.7044074959446862
-1.56,-0.35020116590257366,0.7045463447607164
-1.5499999999999998,-0.34999795150024204,0.7046895332735732
-1.54,-0.349788432033918,0.7048371949169631
-1.5299999999999998,-0.34957241658433474,0.7049894670864845
-1.52,-0.34934970875043597,0.7051464912482271
-1.5099999999999998,-0.34912010651111736,0.7053084130497582
-1.5,-0.348883402084735,0.7054753824335084
-1.4899999999999998,-0.34863938178643666,0.7056475537525658
-1.48,-0.34838782588337663,0.7058250858888845
-1.4699999999999998,-0.3481285084478881,0.706008142373904
-1.46,-0.3478611972086925,0.706196891511583
-1.4499999999999997,-0.34758565340023795,0.7063915065038358
-1.44,-0.34730163161027144,0.7065921655783559
-1.4300000000000002,-0.34700887962575633,0.7067990521188169
-1.42,-0.3467071382772643,0.7070123547974166
-1.4100000000000001,-0.34639614128198093,0.7072322677097419
-1.4,-0.34607561508547957,0.7074589905119115
-1.3900000000000001,-0.34574527870243255,0.7076927285599566
-1.38,-0.34540484355644324,0.7079336930513831
-1.37,-0.3450540133192033,0.7081821011688579
-1.3599999999999999,-0.3446924837491912,0.7084381762259473
-1.35,-0.3443199425301505,0.7087021478148292
-1.3399999999999999,-0.3439360691096066,0.70897425195589
-1.33,-0.3435405345376963,0.7092547312491047
-1.3199999999999998,-0.343133001306613,0.7095438350270888
-1.31,-0.3427131231909869,0.7098418195096978
-1.2999999999999998,-0.3422805450895467,0.7101489479600359
-1.29,-0.34183490286843426,0.7104654908417232
-1.2799999999999998,-0.34137582320656773,0.7107917259772549
-1.27,-0.3409029234434777,0.7111279387072703
-1.2599999999999998,-0.34041581143006944,0.7114744220505334
-1.25,-0.3399140853827919,0.711831476864408
-1.2399999999999998,-0.33939733374172765,0.7121994120055953
-1.23,-0.33886513503314825,0.7125785444908765
-1.2199999999999998,-0.3383170577371129,0.7129691996575886
-1.21,-0.3377526601607233,0.7133717113235353
-1.1999999999999997,-0.33717149031768334,0.7137864219460154
-1.19,-0.3365730858148474,0.7142136827796246
-1.1800000000000002,-0.33595697374648087,0.7146538540324643
-1.17,-0.33532267059699444,0.7151073050203611
-1.1600000000000001,-0.33466968215295323,0.7155744143186781
-1.15,-0.3339975034252032,0.716055569911266
-1.1400000000000001,-0.3333056185819992,0.716551169336074
-1.13,-0.33259350089406076,0.7170616198269115
-1.12,-0.33186061269252504,0.7175873384508138
-1.1099999999999999,-0.3311064053408107,0.7181287522404365
-1.1,-0.330330319221449,0.7186862983208672
-1.0899999999999999,-0.3295317837389839,0.719260424030205
-1.08,-0.32871021734008743,0.7198515870332225
-1.0699999999999998,-0.3278650275520788,0.720460255427387
-1.06,-0.32699561104108305,0.7210869078404759
-1.0499999999999998,-0.3261013536911024,0.721732033518985
-1.04,-0.3251816307053242,0.7223961324064777
-1.0299999999999998,-0.3242358067310202,0.7230797152109946
-1.02,-0.3232632360094415,0.7237833034605821
-1.0099999999999998,-0.32226326255214405,0.7245074295459696
-1.0,-0.3212352203452177,0.7252526367493713
-0.9899999999999998,-0.3201784335829258,0.7260194792583441
-0.98,-0.31909221693229095,0.7268085221635902
-0.9699999999999998,-0.3179758758301877,0.7276203414395443
-0.96,-0.3168287068145283,0.7284555239065401
-0.9499999999999997,-0.31564999789114206,0.729314667173305
-0.94,-0.3144390289379655,0.7301983795584861
-0.9299999999999997,-0.31319507214816206,0.731107279989868
-0.9199999999999999,-0.31191739251379785,0.7320419978798945
-0.9100000000000001,-0.3106052483516861,0.7330031729760724
-0.8999999999999999,-0.30925789187300706,0.7339914551847844
-0.8900000000000001,-0.30787456979828126,0.7350075043670087
-0.8799999999999999,-0.3064545240192478,0.7360519901044046
-0.8700000000000001,-0.3049969923091563,0.7371255914341857
-0.8599999999999999,-0.30350120908293243,0.7382289965511792
-0.8500000000000001,-0.3019664062086111,0.7393629024754417
-0.8399999999999999,-0.30039181387136193,0.7405280146837775
-0.8300000000000001,-0.2987766614913419,0.7417250467034968
-0.8199999999999998,-0.29712017869651053,0.7429547196667315
-0.81,-0.29542159635143206,0.7442177618236291
-0.7999999999999998,-0.29368014764295375,0.7455149080127461
-0.79,-0.29189506922351505,0.7468468990869707
